PointID,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt1,35.82,0.08,20.42,0.03,5.3,24.46,0.56,5.46,6.37,Garnet
Sample1_pt2,36.15,0,20.43,0.05,5.05,24.68,0.62,5.47,6.34,Garnet
Sample1_pt3,36.09,0.1,20.33,0.03,5.06,24.67,0.56,5.38,6.52,Garnet
Sample1_pt4,35.94,0.02,20.47,0.06,5.55,24.06,0.72,5.58,6.32,Garnet
Sample1_pt5,36.04,0.07,20.52,0,4.8,24.46,0.62,5.48,6.42,Garnet
Sample1_pt6,36.63,0.06,20.39,0.02,5.3,24.82,0.53,5.54,6.63,Garnet
Sample1_pt7,36.33,0.12,20.54,0.03,4.97,24.61,0.66,5.54,6.56,Garnet
Sample1_pt8,36.44,0.05,20.29,0,4.56,25.07,0.59,5.4,6.34,Garnet
Sample1_pt9,36.63,0.03,20.61,0.05,4.59,24.89,0.61,5.44,6.61,Garnet
Sample1_pt10,36.38,0.07,20.55,0.02,5.28,24.52,0.65,5.56,6.6,Garnet
Sample1_pt11,36.55,0.05,20.53,0.07,4.86,24.63,0.66,5.6,6.5,Garnet
Sample1_pt12,36.54,0.04,20.49,0,4.45,25.18,0.53,5.48,6.39,Garnet
Sample1_pt13,36.15,0.14,20.49,0.02,5.65,24.21,0.58,5.61,6.67,Garnet
Sample1_pt14,36.41,0.04,20.16,0,4.93,24.47,0.61,5.51,6.61,Garnet
Sample1_pt15,36.12,0.08,20.28,0,4.9,24.52,0.58,5.58,6.36,Garnet
Sample1_pt16,36.16,0.11,20.43,0,5.69,23.99,0.67,5.64,6.6,Garnet
Sample1_pt17,36.55,0.11,20.43,0.08,5.48,24.38,0.68,5.79,6.55,Garnet
Sample1_pt18,36.7,0.13,20.73,0.07,4.61,25.03,0.61,5.62,6.5,Garnet
Sample1_pt19,36.3,0,20.12,0.04,5.1,24.76,0.55,5.45,6.48,Garnet
Sample1_pt20,37.88,0,20.2,0.06,3.89,25.98,0.61,5.73,6.56,Garnet
Sample1_pt21,36.27,0.04,20.66,0.05,5.66,24.45,0.59,5.62,6.45,Garnet
Sample1_pt22,36.15,0.09,20.75,0.03,5.76,24.36,0.63,5.51,6.61,Garnet
Sample1_pt23,36.59,0.07,20.7,0.03,4.96,24.77,0.58,5.65,6.41,Garnet
Sample1_pt24,36.57,0.07,20.6,0.02,4.72,24.78,0.61,5.6,6.53,Garnet
Sample1_pt25,36.54,0.06,20.65,0,4.84,25.11,0.6,5.56,6.33,Garnet
Sample1_pt26,36.41,0.03,20.55,0.05,5.47,24.6,0.58,5.65,6.43,Garnet
Sample1_pt27,36.84,0.09,20.8,0.04,4.61,24.96,0.65,5.65,6.46,Garnet
Sample1_pt28,36.51,0.03,20.57,0.05,5.19,24.69,0.59,5.55,6.58,Garnet
Sample1_pt29,36.05,0.07,20.35,0,5.05,24.46,0.59,5.49,6.31,Garnet
Sample1_pt30,36.58,0.13,20.69,0.04,5.44,24.6,0.66,5.66,6.6,Garnet
Sample1_pt31,36.34,0,20.4,0,5.83,24.22,0.51,5.71,6.54,Garnet
Sample1_pt32,36.48,0.08,20.75,0,5.39,24.63,0.55,5.71,6.37,Garnet
Sample1_pt33,36.12,0.03,20.55,0.05,5.78,24.02,0.57,5.71,6.55,Garnet
Sample1_pt34,36.26,0.12,20.37,0.08,5.53,24.38,0.56,5.58,6.67,Garnet
Sample1_pt35,34.43,0.05,19.82,1.56,5.47,23.44,0.54,4.88,6.56,Garnet
Sample1_pt36,36.29,0.11,20.63,0,5.41,24.36,0.63,5.66,6.54,Garnet
Sample1_pt37,36.22,0.03,20.57,0,4.98,24.34,0.57,5.71,6.42,Garnet
Sample1_pt38,36.6,0.05,20.74,0.02,4.87,25,0.62,5.57,6.45,Garnet
Sample1_pt39,36.77,0.08,20.43,0,5.19,24.66,0.62,5.72,6.62,Garnet
Sample1_pt40,36.73,0.03,20.42,0.05,5.17,24.76,0.57,5.71,6.47,Garnet
Sample1_pt41,36.46,0.04,20.72,0,5.59,24.33,0.58,5.72,6.65,Garnet
Sample1_pt42,36.51,0.05,20.71,0.02,5.05,24.66,0.64,5.59,6.47,Garnet
Sample1_pt43,36.51,0.06,20.68,0.04,5.31,24.65,0.54,5.65,6.51,Garnet
Sample1_pt44,36.49,0.1,20.65,0.03,5.6,24.42,0.69,5.66,6.55,Garnet
Sample1_pt45,36.7,0.09,20.82,0.06,5.51,24.74,0.64,5.67,6.53,Garnet
Sample1_pt46,36.48,0.13,19.97,0.46,5.14,24.46,0.64,5.68,6.59,Garnet
Sample1_pt47,36.98,0.13,20.69,0,5.41,25.05,0.56,5.8,6.5,Garnet
Sample1_pt48,36.65,0.15,20.74,0.02,5.37,24.65,0.64,5.61,6.67,Garnet
Sample1_pt49,36.45,0.02,20.65,0,5.15,24.32,0.59,5.66,6.71,Garnet
Sample1_pt50,36.46,0,20.61,0,5.8,24.16,0.59,5.79,6.62,Garnet
Sample1_pt51,36.74,0.09,20.4,0,5.18,24.86,0.52,5.72,6.48,Garnet
Sample1_pt52,36.86,0.1,20.49,0.09,4.53,25.32,0.57,5.6,6.47,Garnet
Sample1_pt53,36.69,0.06,20.45,0,5.12,24.42,0.61,5.7,6.67,Garnet
Sample1_pt54,36.74,0.06,20.57,0,4.78,24.53,0.64,5.78,6.54,Garnet
Sample1_pt55,36.81,0.11,20.79,0.02,4.81,25.1,0.61,5.75,6.36,Garnet
Sample1_pt56,36.61,0.09,20.66,0.02,5.43,24.38,0.55,5.85,6.54,Garnet
Sample1_pt57,36.54,0.11,20.38,0.06,5.23,24.54,0.6,5.66,6.65,Garnet
Sample1_pt58,36.58,0.03,20.7,0,5.11,24.64,0.6,5.61,6.58,Garnet
Sample1_pt59,36.61,0,20.72,0,5.1,24.73,0.55,5.7,6.5,Garnet
Sample1_pt60,36.69,0.08,20.61,0.04,5.02,24.73,0.58,5.74,6.51,Garnet
Sample1_pt61,36.56,0.03,20.5,0,5.38,24.53,0.5,5.79,6.55,Garnet
Sample1_pt62,36.81,0,20.68,0.03,5.12,24.93,0.59,5.74,6.35,Garnet
Sample1_pt63,36.31,0.06,20.98,0,4.81,24.58,0.54,5.6,6.52,Garnet
Sample1_pt64,36.8,0.1,20.75,0.04,4.31,25.1,0.5,5.6,6.64,Garnet
Sample1_pt65,36.68,0.13,20.6,0,4.43,25.13,0.47,5.71,6.39,Garnet
Sample1_pt66,36.6,0.04,20.47,0.05,5.77,24.2,0.57,5.88,6.48,Garnet
Sample1_pt67,36.73,0.05,20.48,0,4.79,24.77,0.64,5.66,6.52,Garnet
Sample1_pt68,36.65,0.31,20.45,0,4.02,24.84,0.6,5.69,6.45,Garnet
Sample1_pt69,36.49,0.05,20.25,0,5.04,24.49,0.54,5.83,6.43,Garnet
Sample1_pt70,36.61,0.07,20.24,0,4.73,24.68,0.59,5.76,6.47,Garnet
