PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt1,38.85,0.1,20.84,0,28.35,0.51,5.48,6.07,Garnet
Sample1_pt2,38.56,0.13,21.07,0,28.16,0.5,5.45,6.12,Garnet
Sample1_pt3,38.82,0.09,20.7,0.06,28.12,0.55,5.44,5.91,Garnet
Sample1_pt4,38.79,0.05,20.72,0.05,27.63,0.55,5.59,6.05,Garnet
Sample1_pt5,38.54,0.06,20.85,0,27.59,0.57,5.42,6.25,Garnet
Sample1_pt6,38.7,0.03,20.67,0,28.21,0.49,5.43,5.98,Garnet
Sample1_pt7,38.84,0.1,20.85,0.03,27.6,0.47,5.44,6.06,Garnet
Sample1_pt8,39.09,0.07,20.88,0.02,27.84,0.52,5.55,6.17,Garnet
Sample1_pt9,38.86,0.04,20.86,0.01,27.93,0.53,5.53,6.02,Garnet
Sample1_pt10,38.62,0.12,21.1,0,27.8,0.53,5.62,6,Garnet
Sample1_pt11,38.66,0.04,20.86,0.05,27.71,0.5,5.63,6.01,Garnet
Sample1_pt12,38.92,0,20.77,0.05,28.15,0.51,5.43,6.17,Garnet
Sample1_pt13,38.74,0.11,20.86,0,27.85,0.51,5.69,6.18,Garnet
Sample1_pt14,38.5,0.03,20.65,0.02,27.62,0.45,5.49,6.29,Garnet
Sample1_pt15,38.84,0.06,20.92,0.02,27.5,0.59,5.7,6.18,Garnet
Sample1_pt16,38.54,0.04,20.76,0.01,27.28,0.53,5.64,6.24,Garnet
Sample1_pt17,38.77,0.11,20.77,0.03,27.7,0.56,5.59,6.16,Garnet
Sample1_pt18,38.75,0.08,20.7,0.01,27.9,0.53,5.44,6.31,Garnet
Sample1_pt19,38.8,0.02,21,0.01,27.66,0.49,5.67,6.19,Garnet
Sample1_pt20,38.54,0.04,21.04,0.01,27.61,0.52,5.65,6.18,Garnet
Sample1_pt21,38.87,0.14,20.93,0.05,27.74,0.54,5.54,5.98,Garnet
Sample1_pt22,38.56,0.05,21.19,0,27.76,0.59,5.63,6.06,Garnet
Sample1_pt23,38.63,0.06,20.92,0.04,27.23,0.55,5.88,6.23,Garnet
Sample1_pt24,38.91,0.04,21.17,0.02,27.96,0.59,5.48,6.27,Garnet
Sample1_pt25,38.62,0.1,20.77,0.02,27.6,0.58,5.62,6.08,Garnet
Sample1_pt26,38.45,0.1,20.78,0.01,27.55,0.55,5.6,6.23,Garnet
Sample1_pt27,38.86,0.05,20.44,0,27.78,0.59,5.68,6.18,Garnet
Sample1_pt28,38.78,0.03,20.83,0,27.76,0.54,5.64,6.12,Garnet
Sample1_pt29,38.65,0.04,21.07,0.03,27.48,0.59,5.52,6.15,Garnet
Sample1_pt30,38.12,0.09,21.08,0.01,27.22,0.58,5.54,6.23,Garnet
Sample1_pt31,38.57,0.03,21.26,0.05,27.69,0.5,5.57,6.26,Garnet
Sample1_pt32,38.07,0.02,21.35,0,26.95,0.54,5.73,6.11,Garnet
Sample1_pt33,38.34,0.14,21.02,0.05,27.58,0.52,5.66,6.07,Garnet
Sample1_pt34,38.13,0.01,21.65,0,26.85,0.51,5.87,6.07,Garnet
Sample1_pt35,38.14,0.04,21.32,0.03,26.85,0.55,5.7,6.3,Garnet
Sample1_pt36,38.06,0.04,21.44,0.03,27.12,0.55,5.6,6.16,Garnet
Sample1_pt37,38.02,0.06,21.23,0.01,26.82,0.51,5.8,6.12,Garnet
Sample1_pt38,38.21,0.1,21.38,0.04,27.44,0.55,5.63,6.05,Garnet
Sample1_pt39,37.93,0.08,21.2,0.02,26.74,0.57,5.71,6.19,Garnet
Sample1_pt40,38.55,0.04,21.31,0.03,27.85,0.53,5.57,6.02,Garnet
Sample1_pt41,38.18,0.07,21.04,0.05,27.21,0.55,5.65,6.15,Garnet
Sample1_pt42,38.26,0.08,21.15,0.04,27.43,0.48,5.58,6.21,Garnet
Sample1_pt43,38.65,0,21.15,0,27.64,0.54,5.57,6.04,Garnet
Sample1_pt44,38.33,0,21.08,0.02,27.54,0.55,5.69,5.93,Garnet
Sample1_pt45,37.93,0.01,21.32,0,26.62,0.55,5.76,6.18,Garnet
Sample1_pt46,38.72,0.03,21.12,0.04,27.93,0.5,5.68,6.06,Garnet
Sample1_pt47,38.72,0.06,21.51,0.06,27.89,0.45,5.77,6.03,Garnet
Sample1_pt48,38.45,0.03,21.59,0.02,27.42,0.56,5.57,6.31,Garnet
Sample1_pt49,38.84,0.1,21.03,0.03,27.91,0.46,5.78,6.12,Garnet
Sample1_pt50,38.94,0.05,21.36,0.07,27.67,0.58,5.89,6.13,Garnet
Sample1_pt51,38.75,0.04,21.32,0,27.78,0.56,5.62,6.19,Garnet
Sample1_pt52,38.65,0.04,21.35,0,27.99,0.58,5.48,6.17,Garnet
Sample1_pt53,38.31,0.09,21.46,0.01,27.38,0.56,5.63,6.17,Garnet
Sample1_pt54,38.64,0.05,21.31,0.05,27.75,0.55,5.79,5.95,Garnet
Sample1_pt55,38.68,0.05,21.23,0,27.48,0.6,5.91,5.99,Garnet
Sample1_pt56,38.69,0.1,21.53,0.02,27.63,0.59,5.74,6.16,Garnet
Sample1_pt57,38.53,0.04,21.57,0.07,27.62,0.56,5.73,6.02,Garnet
Sample1_pt58,38.41,0.01,21.47,0.02,27.43,0.53,5.56,6.29,Garnet
Sample1_pt59,38.5,0.08,21.19,0.04,27.56,0.51,5.66,6.2,Garnet
Sample1_pt60,38.38,0.06,21.37,0,27.16,0.54,5.75,6.24,Garnet
Sample1_pt61,38.18,0.07,21.22,0.02,27.14,0.5,5.74,6.12,Garnet
Sample1_pt62,38.63,0.14,21.51,0,27.95,0.54,5.76,5.9,Garnet
Sample1_pt63,38.51,0.09,21.24,0.04,27.37,0.52,5.8,6.16,Garnet
Sample1_pt64,38.54,0.05,21.16,0.02,27.32,0.51,5.73,6.31,Garnet
Sample1_pt65,38.57,0.05,21.21,0.02,27.4,0.54,5.73,6.25,Garnet
Sample1_pt66,38.6,0.11,20.99,0,27.85,0.48,5.61,6.18,Garnet
Sample1_pt67,38.35,0.09,21.19,0.03,27.5,0.57,5.73,5.97,Garnet
Sample1_pt68,38.43,0.07,21.29,0,27.39,0.61,5.66,6.18,Garnet
Sample1_pt69,38.48,0.06,21.08,0.02,27.27,0.54,5.73,6.27,Garnet
Sample1_pt70,38.45,0.1,21.29,0.07,27.5,0.55,5.69,6.14,Garnet
Sample1_pt71,38.36,0.09,21.35,0.04,27.07,0.59,5.78,6.23,Garnet
Sample1_pt72,38.22,0.06,21.29,0,27.08,0.52,5.81,6.08,Garnet
Sample1_pt73,38.2,0.08,21.42,0.04,27.3,0.53,5.81,5.9,Garnet
Sample1_pt74,38.42,0.05,21.24,0.02,27.65,0.51,5.62,5.94,Garnet
Sample1_pt75,38.19,0.05,21.14,0,27.31,0.58,5.74,5.92,Garnet
Sample1_pt76,38.11,0.1,20.92,0.04,27.23,0.55,5.75,5.95,Garnet
Sample1_pt77,38.51,0.12,21.29,0.01,27.91,0.55,5.61,6,Garnet
Sample1_pt78,38.44,0.1,21.16,0,27.51,0.53,5.68,6.15,Garnet
Sample1_pt79,38.04,0.06,21.22,0,27.21,0.54,5.63,6.05,Garnet
Sample1_pt80,38.24,0.06,21.41,0.01,27.07,0.57,5.79,6.1,Garnet
Sample1_pt81,38.16,0.07,21.25,0.09,27.12,0.59,5.75,6.03,Garnet
Sample1_pt82,38.49,0.11,21.2,0,27.55,0.6,5.59,5.99,Garnet
Sample1_pt83,38.26,0.06,21.31,0,27.36,0.49,5.75,6.01,Garnet
Sample1_pt84,38.07,0.05,21.08,0,26.93,0.52,5.71,6.19,Garnet
Sample1_pt85,37.93,0.11,21.33,0,27.14,0.56,5.61,6.05,Garnet
Sample1_pt86,38.25,0.11,21.12,0.05,27.39,0.52,5.73,5.9,Garnet
Sample1_pt87,38.23,0.07,21.13,0,27.1,0.44,5.78,6.19,Garnet
Sample1_pt88,37.87,0.09,21.13,0.03,27.16,0.51,5.59,6.03,Garnet
Sample1_pt89,38.13,0.02,21.34,0,26.88,0.56,5.7,6.25,Garnet
Sample1_pt90,37.9,0.04,20.95,0.01,27.22,0.53,5.59,5.96,Garnet
Sample1_pt91,38.15,0.1,20.76,0,27.42,0.57,5.53,6.13,Garnet
