PointID,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Fe2O3,Mineral
Sample1_pt1,39.22,0.05,20.66,29.54,0.84,5.1,6.67,0,Garnet
Sample1_pt2,39.07,0.05,20.86,29.84,0.88,5.14,6.63,0,Garnet
Sample1_pt3,38.96,0,20.48,29.43,0.85,5.11,6.71,0,Garnet
Sample1_pt4,38.91,0.04,20.62,29.69,0.83,4.99,6.8,0,Garnet
Sample1_pt5,38.8,0.01,20.75,29.51,0.96,5.14,6.74,0,Garnet
Sample1_pt6,38.94,0,20.54,29.55,0.82,5.11,6.71,0,Garnet
Sample1_pt7,38.63,0.05,20.74,29.63,0.85,5.16,6.63,0,Garnet
Sample1_pt8,38.66,0.04,20.78,29.65,0.87,5.1,6.62,0,Garnet
Sample1_pt9,38.77,0.02,20.67,29.58,0.88,5.1,6.68,0,Garnet
Sample1_pt10,38.64,0.03,20.62,29.27,0.85,5.04,6.63,0,Garnet
Sample1_pt11,38.37,0.04,20.56,29.36,0.85,5.07,6.79,0,Garnet
Sample1_pt12,38.5,0.03,20.69,29.37,0.9,5.21,6.67,0,Garnet
Sample1_pt13,38.7,0.06,20.54,29.14,0.89,5.03,6.77,0,Garnet
Sample1_pt14,38.29,0.04,20.6,29.43,0.93,5.07,6.67,0,Garnet
Sample1_pt15,38.26,0.04,20.53,29.3,0.83,5.04,6.56,0,Garnet
Sample1_pt16,38.44,0.02,20.42,29.39,0.81,5.05,6.71,0,Garnet
Sample1_pt17,38.29,0.03,20.34,29.39,0.84,5.18,6.67,0,Garnet
Sample1_pt18,38.37,0.03,20.4,29.19,0.8,5.1,6.67,0,Garnet
Sample1_pt19,38.58,0.05,20.32,29.05,0.89,5.09,6.73,0,Garnet
Sample1_pt20,37.7,0.03,19.89,28.25,0.8,4.95,6.44,0,Garnet
Sample1_pt21,38.04,0.06,20.26,29.16,0.84,5.05,6.71,0,Garnet
Sample1_pt22,38.32,0.08,20.33,29.1,0.87,5.13,6.55,0,Garnet
Sample1_pt23,38.22,0.04,20.39,29.23,0.88,5.18,6.64,0,Garnet
Sample1_pt24,38.36,0.05,20.33,29.28,0.93,5.04,6.61,0,Garnet
Sample1_pt25,38.13,0.06,20.39,29.53,0.85,5.11,6.62,0,Garnet
Sample1_pt26,38.26,0.02,20.46,29.25,0.82,5.09,6.59,0,Garnet
Sample1_pt27,37.82,0.04,20.42,29.43,0.84,5.21,6.81,0,Garnet
Sample1_pt28,38.46,0.04,20.51,29.42,0.9,5.18,6.62,0,Garnet
Sample1_pt29,38.43,0.06,20.34,29.37,0.82,5.12,6.67,0,Garnet
Sample1_pt30,38.23,0.04,20.46,29.35,0.9,5.16,6.76,0,Garnet
Sample1_pt31,37.98,0,20.52,29.46,0.9,5.1,6.63,0,Garnet
Sample1_pt32,38.11,0.06,20.48,29.62,0.84,5.1,6.83,0,Garnet
Sample1_pt33,38.07,0.04,20.58,29.72,0.89,5.1,6.75,0,Garnet
Sample1_pt34,38.19,0.07,20.33,29.59,0.86,5.03,6.69,0,Garnet
Sample1_pt35,38.71,0.01,20.67,29.66,0.92,5.14,6.82,0,Garnet
Sample1_pt36,38.13,0.02,20.42,29.51,0.84,5.14,6.79,0,Garnet
Sample1_pt37,38.25,0.04,20.67,29.51,0.91,5.14,6.82,0,Garnet
Sample1_pt38,38.29,0.02,20.93,29.67,0.92,5.07,6.84,0,Garnet
Sample1_pt39,38.38,0.07,20.43,29.88,0.9,5.07,6.92,0,Garnet
Sample1_pt40,38.4,0.02,20.57,29.81,0.92,5.06,6.7,0,Garnet
Sample1_pt41,37.99,0.07,20.24,29.84,0.87,5.08,6.76,0,Garnet
Sample1_pt42,38.1,0.12,20.47,29.89,0.82,5.17,6.8,0,Garnet
Sample1_pt43,38.15,0.02,20.45,29.59,0.85,5.09,6.73,0,Garnet
Sample1_pt44,38.32,0.05,20.67,29.68,0.87,5.04,6.79,0,Garnet
Sample1_pt45,38.13,0.02,20.54,29.62,0.86,5.25,6.73,0,Garnet
Sample1_pt46,38.19,0.02,20.64,29.74,0.89,5.01,6.9,0,Garnet
Sample1_pt47,38.25,0.06,20.52,29.63,0.83,5.13,6.69,0,Garnet
Sample1_pt48,38.27,0.05,20.55,29.8,0.87,5.11,6.81,0,Garnet
Sample1_pt49,38.06,0.03,20.41,29.46,0.9,5.03,6.91,0,Garnet
Sample1_pt50,38.32,0.05,20.35,29.93,0.94,5.02,6.81,0,Garnet
Sample1_pt51,38.22,0.02,20.42,29.75,0.86,5.06,6.92,0,Garnet
Sample1_pt52,38.2,0.05,20.51,30.28,0.84,5.08,6.78,0,Garnet
Sample1_pt53,38.29,0.07,20.45,29.65,0.83,5.08,6.99,0,Garnet
Sample1_pt54,38.32,0.08,20.42,30.14,0.94,5.11,6.76,0,Garnet
Sample1_pt55,38.16,0.17,20.46,29.85,0.92,5.05,6.88,0,Garnet
Sample1_pt56,38.36,0.21,20.29,30.04,0.78,5.11,6.76,0,Garnet
Sample1_pt57,38.13,0.14,20.31,30.24,0.85,4.94,6.89,0,Garnet
Sample1_pt58,37.92,0.2,20.23,29.93,0.82,4.98,6.8,0,Garnet
