PointID,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt1,38.18,0.04,21.75,28.5,0.2,9.38,0.95,Garnet
Sample1_pt2,38.82,0.05,21.97,28.74,0.18,9.4,0.94,Garnet
Sample1_pt3,38.88,0.04,21.86,28.48,0.2,9.58,1,Garnet
Sample1_pt4,39.17,0.02,22,28.46,0.21,9.52,0.98,Garnet
Sample1_pt5,38.59,0.04,21.67,28.25,0.22,9.42,0.93,Garnet
Sample1_pt6,38.7,0,21.56,28.14,0.24,9.4,0.98,Garnet
Sample1_pt7,38.69,0.12,21.46,28.39,0.19,9.38,0.93,Garnet
Sample1_pt8,39.31,0,21.86,28.48,0.25,9.56,0.88,Garnet
Sample1_pt9,38.61,0.05,22.03,28.51,0.25,9.69,0.96,Garnet
Sample1_pt10,38,0.08,22.02,28.42,0.23,9.33,0.97,Garnet
Sample1_pt11,38.59,0.05,21.62,28.23,0.2,9.44,0.96,Garnet
Sample1_pt12,38,0.07,21.37,28.77,0.22,9.41,0.94,Garnet
Sample1_pt13,39.15,0.03,21.87,28.48,0.26,9.74,0.89,Garnet
Sample1_pt14,39,0,21.54,28.51,0.22,9.29,0.89,Garnet
Sample1_pt15,38.44,0.08,22.1,27.95,0.21,9.79,0.91,Garnet
Sample1_pt16,38.94,0,21.75,28.17,0.22,9.62,0.99,Garnet
Sample1_pt17,39.12,0.04,21.94,28.26,0.2,9.55,0.93,Garnet
Sample1_pt18,39.33,0,21.74,28.43,0.21,9.52,0.91,Garnet
Sample1_pt19,39.2,0,21.79,28.3,0.21,9.76,0.89,Garnet
Sample1_pt20,39.25,0.05,21.71,28.59,0.21,9.51,0.87,Garnet
Sample1_pt21,39.03,0,21.94,28.72,0.22,9.41,0.93,Garnet
Sample1_pt22,39.76,0,21.69,28.02,0.22,9.53,0.86,Garnet
Sample1_pt23,38.62,0,21.34,28.47,0.18,9.14,0.93,Garnet
Sample1_pt24,39.22,0.07,21.37,28.5,0.23,9.57,0.9,Garnet
Sample1_pt25,38.93,0,22.35,28.21,0.21,9.84,0.94,Garnet
Sample1_pt26,39.04,0,22.01,27.94,0.2,9.64,0.95,Garnet
Sample1_pt27,39.28,0.01,22.03,27.68,0.23,9.52,0.94,Garnet
Sample1_pt28,38.56,0,21.78,28.2,0.22,9.52,0.93,Garnet
Sample1_pt29,38.75,0,21.96,28.21,0.21,9.59,0.96,Garnet
Sample1_pt30,38.48,0.03,22.06,28.11,0.25,9.41,0.95,Garnet
Sample1_pt31,38.71,0.01,21.8,28.24,0.16,9.41,0.94,Garnet
Sample1_pt32,39.31,0,21.97,28.2,0.23,9.66,0.9,Garnet
Sample1_pt33,39.36,0.08,21.87,28.47,0.18,9.38,0.95,Garnet
