PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt1,37.16,0.06,21.21,0,26.17,0.88,3.06,10.44,Garnet
Sample1_pt2,37.93,0.12,21.46,0.05,27.42,1.01,2.89,9.93,Garnet
Sample1_pt3,38.15,0.08,21.12,0.09,26.81,0.75,2.75,10.32,Garnet
Sample1_pt4,37.99,0.11,21.3,0.03,27.25,0.75,2.51,10.3,Garnet
Sample1_pt5,37.68,0.07,21.04,0.09,26.72,0.7,2.5,10.93,Garnet
Sample1_pt6,37.5,0.11,21.43,0.02,27.28,0.73,2.41,10.4,Garnet
Sample1_pt7,37.51,0.11,21.23,0.03,27.91,0.77,2.3,10.29,Garnet
Sample1_pt8,37.57,0.07,21.47,0.08,27.33,1.06,2.21,10.63,Garnet
Sample1_pt9,37.5,0.05,21.31,0,27.44,1.41,2.03,10.05,Garnet
Sample1_pt10,37.99,0.21,21.54,0.02,26.67,1.44,2.02,10.8,Garnet
Sample1_pt11,37.54,0.07,21.07,0.07,26.79,1.48,2,10.4,Garnet
Sample1_pt12,37.32,0.14,21.14,0.03,27.07,1.63,1.93,10.15,Garnet
Sample1_pt13,37.29,0.15,21.13,0.03,26.47,1.66,1.94,10.65,Garnet
Sample1_pt14,37.54,0.02,21.38,0.01,26.79,2.06,1.97,10.05,Garnet
Sample1_pt15,37.78,0.17,21.23,0.06,26.99,1.84,2.02,10.12,Garnet
Sample1_pt16,37.27,0.08,21.12,0.12,26.42,2.28,1.84,10.15,Garnet
Sample1_pt17,37.59,0.12,21.16,0,25.97,2.36,1.9,10.84,Garnet
Sample1_pt18,37.52,0.12,21.05,0.06,26.28,2.6,1.82,10.24,Garnet
Sample1_pt19,37.83,0.15,21.31,0.04,26.23,2.68,1.97,10.27,Garnet
Sample1_pt20,37.43,0.05,21.26,0,26.63,3.01,1.89,9.93,Garnet
Sample1_pt21,37.74,0.18,21.02,0,25.19,2.83,1.75,10.91,Garnet
Sample1_pt22,37.62,0.2,21.46,0.01,26.04,3.18,1.86,10.27,Garnet
