PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,NiO,CaO,Na2O,K2O,P2O5,Mineral
1,37.87,0.16,20.91,0,25.24,0.96,3.6,0,11.07,0,0,0,Garnet
2,37.28,0.06,20.92,0,26.06,2.32,1.86,0,10.96,0,0,0,Garnet
3,37.38,0.08,21.26,0,29.12,1.11,4.94,0,6.99,0,0,0,Garnet
4,37.56,0.07,21.19,0,27.77,0.98,4.54,0,8.01,0,0,0,Garnet
5,37.59,0.04,21.03,0,28.79,1.39,3.89,0,7.54,0.05,0,0,Garnet
6,37.04,0.05,20.92,0,27.92,1.4,4.68,0,7.64,0,0,0,Garnet
7,35.88,0.02,21,0,31.1,1.29,1.59,0,8.45,0,0,0,Garnet
8,37.47,0.03,21.58,0,28.53,0.65,1.35,0,11.27,0.05,0,0,Garnet
9,36.61,0.1,20.58,0,32.86,2.41,3.7,0,1.83,0,0.01,0,Garnet
10,37.19,0,20.7,0.06,34.36,1.29,3.9,0.09,2.62,0,0.03,0,Garnet
11,37.33,0.04,20.65,0,34.63,1.62,4.31,0.04,1.34,0,0,0,Garnet
12,36.78,0.04,20.49,0,35.56,1.71,3.44,0.03,1.42,0,0,0,Garnet
13,36.87,0,20.35,0.02,30.8,4.69,2.25,0,4.32,0,0.03,0,Garnet
14,37.36,0,20.72,0.02,32.56,0.14,3.4,0,5,0,0,0,Garnet
15,36.67,0.02,20.51,0,33.6,3.84,0.76,0,3.9,0.07,0.15,0,Garnet
16,36.84,0.18,20.15,0,32.4,3.92,0.88,0,5.21,0,0.04,0,Garnet
17,36.1,0,20.87,0,31.74,3.14,3.09,0,4.56,0,0,0,Garnet
18,36.69,0.1,20.67,0,31.15,3,2.63,0,5.35,0,0,0,Garnet
19,36.27,0.16,20.94,0,31.52,3.68,2.83,0,4.49,0,0,0,Garnet
20,37.06,0.05,20.82,0,33.17,1.43,3.33,0,4.71,0.09,0.01,0,Garnet
21,35.63,0.07,20.74,0,36.45,1.44,3.37,0,1.76,0,0,0,Garnet
22,35.82,0.05,21.18,0,37.36,0.99,3.5,0,0.71,0.08,0,0,Garnet
23,37.23,0,20.45,0,33.22,1.15,2.56,0,4.9,0,0,0,Garnet
24,36.72,0.08,20.24,0.13,39.46,0.42,1.67,0.08,1.66,0,0,0,Garnet
25,36.59,0,20.15,0.04,39.12,0.2,1.77,0.06,1.43,0,0.03,0,Garnet
26,37.17,0,20.3,0.02,32.35,1.92,4.23,0,3.85,0,0,0,Garnet
27,36.59,0,20.09,0.02,38.59,1.01,1.45,0.04,1.95,0,0.02,0,Garnet
28,36.67,0,20.02,0,33.37,1.16,2.59,0.02,4.87,0,0.02,0,Garnet
29,37.02,0.04,20.3,0,34.18,0.99,2.78,0,4.01,0,0,0,Garnet
30,37.12,0.35,20.82,0.01,31.33,5.95,0.87,0,3.01,0,0.05,0,Garnet
31,37.02,0.11,20.97,0,31.15,6.26,0.91,0.05,3.3,0,0.02,0,Garnet
32,36.63,0.11,20.76,0,29.78,7.08,0.63,0,5.46,0,0,0,Garnet
33,37.2,0.13,20.71,0,28.19,7.65,0.58,0.01,6.46,0,0,0,Garnet
34,35.94,0.03,20.39,0,34.78,2.07,3.99,0,1.71,0,0,0,Garnet
35,36.18,0.01,20.6,0,35.35,2.89,2.69,0,1.5,0.08,0,0,Garnet
36,36.24,0.01,19.95,0,35.45,3.4,2.65,0,1.64,0.1,0,0,Garnet
37,36.17,0,20.66,0,34.43,3.34,3.24,0,1.44,0.04,0,0,Garnet
38,35.9,0.02,20.53,0,34.73,4.16,2.61,0,1.33,0,0,0,Garnet
39,37.31,0.03,20.56,0,29.09,8.49,3.14,0,2.07,0,0,0,Garnet
40,37.24,0,20.65,0,27.97,10.35,2.54,0,1.68,0,0.01,0,Garnet
41,37.44,0.05,20.61,0,35.07,0.09,3.29,0,3.21,0,0,0,Garnet
42,37.12,0.11,20.19,0.02,35.29,0.67,2.88,0,3.13,0,0.02,0,Garnet
43,37.12,0.18,20.11,0,28.16,3.91,1.73,0,8.11,0,0,0,Garnet
44,37.16,0.09,20.08,0.01,28.25,3.05,1.94,0,8.07,0,0.02,0,Garnet
45,36.78,0.22,20.02,0,25.6,10.16,1.68,0.04,4.8,0,0,0,Garnet
46,36.91,0,20.45,0.05,24.56,12.8,3.22,0.02,1.8,0,0,0,Garnet
47,36.96,0.01,20.27,0,23.44,13.56,2.87,0,1.89,0.01,0.03,0,Garnet
48,37.02,0.26,20.4,0.03,24.88,10.87,3.24,0.01,2.76,0,0.02,0,Garnet
49,37.07,0,20.52,0,25.01,11.44,3.22,0,2.12,0,0,0,Garnet
50,37.02,0.2,20.47,0.04,24.41,10.63,3.59,0,2.93,0.05,0,0,Garnet
51,37.11,0,20.36,0.06,25.49,11.42,3.53,0.03,1.24,0,0,0,Garnet
52,37.87,0.01,21.08,0,33.62,1.17,4.26,0,2.36,0,0.01,0,Garnet
53,37.37,0,20.74,0,33.74,4.46,2.58,0,1.74,0,0.02,0,Garnet
54,36.99,0.13,18.79,0,14.07,19.13,2.08,0,7.87,0,0,0,Garnet
55,37.29,0.1,20.16,0,23.72,12.23,2.99,0.07,3.16,0.04,0.03,0,Garnet
56,37.19,0.02,20.54,0.01,25.45,11.65,3.53,0,1.33,0,0.02,0,Garnet
57,36.88,0.19,21.23,0,27.37,0.69,5.46,0,7.5,0,0,0,Garnet
58,36.95,0.11,21.3,0,28.12,1.37,4.35,0,7.52,0,0,0,Garnet
59,35.52,0.69,7.19,0,19.07,3.76,0,0,28.72,0,0,0,Garnet
60,35.71,0.11,5.7,0,21.55,2.41,0,0,30.44,0.01,0,0,Garnet
61,35.76,0.79,5.16,0,21.5,3.02,0,0,30.17,0,0,0,Garnet
62,41.42,0.03,20.5,4.94,6.04,0.23,20.81,0,5.4,0.05,0,0,Garnet
63,41.23,0.04,21.81,2.96,8.23,0.43,19.63,0,5.32,0.05,0,0,Garnet
64,40.08,0.64,15.84,10.39,6.34,0.29,18.53,0,7.77,0.06,0,0,Garnet
65,40.87,0.36,22.21,1.81,8.43,0.34,21.11,0,4.47,0,0,0,Garnet
66,39.98,0.23,20.77,3.18,9.59,0.39,19.85,0,5.1,0.03,0,0,Garnet
67,40.19,0.14,18.63,6.69,7.38,0.28,19.05,0,6.7,0.04,0,0,Garnet
68,43.01,0.01,20.64,4.19,5.48,0.25,21.82,0,3.99,0.04,0,0,Garnet
69,41.21,0.23,21.78,2.11,10.03,0.47,18.73,0,4.83,0.06,0,0,Garnet
70,41.44,0.21,21.95,2.01,8.89,0.48,19.63,0,5.11,0.04,0,0,Garnet
71,41.58,0.26,21.54,2.59,8.48,0.38,19.85,0,4.88,0.07,0,0,Garnet
72,41.77,0.02,21.41,3.56,5.74,0.3,22.64,0,3.91,0.04,0,0,Garnet
73,41.27,0.04,19.29,5.84,7.87,0.41,18.17,0,6.82,0,0,0,Garnet
74,42.21,0.21,23.58,0.19,8.62,0.32,19.77,0,4.47,0.01,0,0,Garnet
75,41.32,0.03,19.02,6.34,6.78,0.32,19.31,0,6.08,0.01,0,0,Garnet
76,42.27,0.05,21.46,3.7,7.22,0.31,20.15,0,4.18,0.01,0,0,Garnet
77,41.01,0.02,18.64,7.09,7.3,0.4,18.33,0,6.93,0.01,0,0,Garnet
78,41.35,0.07,22.23,1.77,9.42,0.54,18.89,0,5.23,0.01,0,0,Garnet
79,41.42,0.35,19.08,5.85,6.65,0.31,20.29,0,5.98,0.04,0,0,Garnet
80,41.34,0.48,19.71,5.69,5.96,0.28,21.11,0,5.2,0.07,0,0,Garnet
81,41.98,0.01,21.22,3.73,5.81,0.32,22.23,0,3.82,0,0,0,Garnet
82,41.02,0.09,17.43,8.33,6.36,0.29,19.1,0,7.16,0.02,0,0,Garnet
83,41.07,0.05,19.28,5.9,7.58,0.42,18.99,0,6.67,0,0,0,Garnet
84,41.04,0.25,23.01,0.1,12.33,0.35,17.53,0,4.9,0.09,0,0,Garnet
85,41.63,0.25,22.1,1.73,8.64,0.44,20.04,0,4.71,0.05,0,0,Garnet
86,41.67,0.05,18.58,6.05,6.56,0.37,19.84,0,5.99,0,0,0,Garnet
87,42.35,0.07,22.32,1.26,9.93,0.41,18.99,0,4.62,0,0,0,Garnet
88,41.39,0.1,19.58,4.84,7.23,0.52,18.55,0,6.01,0,0,0,Garnet
