PointID,Al2O3,BaO,CO2,CaO,Cr2O3,Fe2O3,FeO,K2O,MgO,MnO,Na2O,NiO,P2O5,SO3,SiO2,SrO,TiO2,F,Cl,Mineral
P00001,19.35,0,0,0.38,0,0,0,0.16,0.01,0,11.19,0.01,0.04,0,69.42,0,0.04,0,0,Albite
P00002,20.38,0,0,1.23,0,0,2.23,0.05,0.54,0.01,10.41,0,0,0,62.95,0,0.01,0,0,Albite
P00003,20.47,0,0,1.69,0.05,0,0.38,0.01,0.01,0.02,11.21,0,0,0,66.12,0,0.08,0,0,Albite
P00004,21.33,0.21,0,3.44,0.14,0,0.21,0.24,0.07,0.19,9.51,0,0.07,0,63.56,0,0.14,0.54,0.02,Albite
P00005,14.33,0,0,12.03,0.65,0,4.07,0.03,17.39,0.07,3.1,0.08,0,0,42.96,0,1.8,0,0,Amphibole
P00006,13.35,0,0,11.71,0.74,0,4.09,0.05,17.01,0.06,2.97,0.09,0,0,43.03,0,2.39,0,0,Amphibole
P00007,14.12,0,0,12.02,0.76,0,4.35,0.07,17.53,0.06,3.04,0.1,0,0,42.95,0,3.02,0,0,Amphibole
P00008,12.83,0,0,12.14,0.84,0,4.39,0.03,17.14,0.07,2.88,0.11,0,0,43.01,0,4.65,0,0,Amphibole
P00009,12.15,0,0,11.89,1.26,0,4.08,0.02,16.42,0.05,2.75,0.09,0,0,42.13,0,4.87,0,0,Amphibole
P00010,12.42,0,0,12.15,1.35,0,4.03,0.15,15.79,0.06,3.38,0.09,0,0,41.9,0,5.12,0,0,Amphibole
P00011,13.16,0,0,12.25,0.8,0,4.06,0.63,16.82,0.07,3.57,0.06,0,0,44.2,0,1.88,0,0,Amphibole
P00012,14.07,0,0,11.94,1.04,0,4.19,0,17.25,0.02,3.68,0.08,0,0,42.97,0,2.28,0,0,Amphibole
P00013,13.15,0,0,12.54,1.1,0,3.89,0.02,18,0.06,3.38,0.12,0,0,43.18,0,2.06,0,0,Amphibole
P00014,13.78,0,0,11.49,0.8,0,3.89,0.17,16.72,0.05,3.92,0.07,0,0,43.86,0,3.98,0,0,Amphibole
P00015,13.29,0,0,11.57,1.15,0,4.14,0.17,16.73,0.07,3.42,0.1,0,0,43.3,0,2.81,0,0,Amphibole
P00016,15.5,0,0,10.6,0.58,0,4.18,0.18,17.3,0.09,3.72,0,0,0,42.1,0,2.85,0,0,Amphibole
P00017,14.77,0,0,10.44,1.05,0,4.13,0.01,18,0.08,3.86,0.13,0,0,43.41,0,1.7,0,0,Amphibole
P00018,13.22,0,0,10.63,2.34,0,3.74,1.1,18.1,0.02,3.42,0,0,0,44.2,0,0.47,0,0,Amphibole
P00019,14.68,0,0,11.2,1.93,0,3.73,1.21,17.92,0.01,3.08,0.12,0,0,44.28,0,0.52,0,0,Amphibole
